气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积
4,877.79,386.07,57.53,50.38,170.62,6.0133,85.7773
5,836.29,30.90,45.87,38.35,178.76,6.3471,41.5079
6,893.91,240.07,44.56,37.09,19.63,8.1102,37.8899
7,296.50,245.99,77.51,51.24,20.52,7.3664,158.3938
8,562.44,150.16,63.80,42.49,23.00,11.6108,88.9571
9,789.44,226.27,88.64,43.85,172.24,8.3801,177.2641
10,843.92,216.82,63.26,50.70,24.42,9.0237,104.3607
11,261.21,30.51,55.17,50.39,15.25,4.0541,78.9072
12,370.99,302.84,42.80,38.69,4.80,7.3075,36.4688
13,319.23,74.98,48.88,42.09,22.57,8.1504,51.7468
15,423.17,235.94,53.53,31.73,163.11,11.3295,46.7692
25,769.66,246.74,58.78,36.12,26.31,14.9928,64.2080
31,587.07,297.18,46.01,44.14,2.58,4.1677,48.0587
32,558.75,358.40,38.25,37.38,177.08,7.2593,28.1354
33,762.75,146.90,78.72,35.92,22.77,9.1208,114.5309
34,512.58,90.66,31.96,30.44,179.83,10.8781,16.0028
35,518.40,117.85,83.47,52.60,153.75,11.5754,188.5219
52,358.84,95.42,80.78,48.60,127.84,4.4534,163.1564
63,783.01,6.55,93.19,44.04,17.67,2.7205,196.7813
65,469.47,85.44,82.75,54.43,29.80,7.4829,191.7756
67,618.19,209.67,59.67,35.68,159.79,11.4682,65.3574
69,685.06,158.01,67.68,29.16,18.57,10.8732,68.7159
70,316.43,384.06,93.42,53.21,19.81,7.4180,238.9361
72,660.22,98.16,52.53,29.52,17.00,10.2303,41.9163
79,684.61,14.13,51.25,34.89,5.33,5.8129,47.1488
89,396.90,386.86,64.90,53.88,1.00,7.4472,116.7520
200,856.01,110.99,38.15,33.66,177.01,5.6277,25.1941
211,314.08,508.70,49.16,39.70,22.02,5.6635,49.3567
54,667.99,80.39,34.95,30.15,176.77,7.3158,18.9451
238,876.88,553.44,23.47,22.24,178.55,5.1920,6.3046
263,696.24,355.12,85.05,40.20,6.15,9.5585,149.5962
265,515.36,362.09,52.95,46.39,179.83,9.0197,66.9045
84,364.08,53.42,63.04,35.71,161.48,8.2847,73.0081
282,657.11,371.13,67.51,48.61,19.97,9.3242,113.9662
83,471.16,168.89,83.57,37.67,174.57,7.2303,135.3694
37,764.06,275.33,87.37,42.69,29.04,10.7161,167.6872
320,426.36,381.99,95.79,53.95,150.58,9.6226,254.6573
316,725.12,305.04,64.05,50.90,1.94,8.1527,107.4290
43,418.20,103.44,64.51,52.01,162.80,9.2816,111.3498
349,277.21,488.40,70.57,31.68,8.50,8.3037,81.1517
20,588.17,233.93,43.59,39.35,7.58,9.4881,38.4693
322,777.00,416.99,99.44,44.23,21.68,9.2870,225.0123
379,347.14,467.36,73.24,33.47,162.12,9.0077,92.3600
266,594.03,328.88,70.82,47.05,8.96,13.4002,121.3887
314,529.49,182.27,59.04,48.59,165.65,8.8061,87.1312
380,751.73,454.06,79.68,54.10,164.14,8.8720,176.7183
406,273.87,582.13,29.66,28.27,178.85,5.0229,12.7910
414,494.01,452.34,118.35,68.02,153.56,9.2984,490.0854
439,721.25,591.62,37.77,37.55,87.23,6.7329,27.5558
456,438.90,535.90,63.13,45.79,13.87,8.4712,93.9030
484,724.59,534.17,47.70,46.60,177.71,6.9914,54.5450
471,588.90,539.32,59.47,53.71,0.84,9.1335,97.7065
42,676.37,192.26,44.94,39.97,171.42,8.6164,41.5226
17,668.18,118.75,51.28,37.57,13.49,11.2151,50.8326
554,523.27,573.60,69.68,42.53,144.10,11.0054,106.2172
560,299.47,656.02,77.17,48.89,145.45,9.6061,149.7844
57,634.78,167.76,46.16,43.72,174.46,8.3009,47.9168
569,564.92,7.72,33.55,22.77,173.39,4.5428,13.1916
572,602.70,629.50,94.89,39.75,6.90,8.3386,184.1261
530,433.51,616.63,76.72,54.92,137.48,8.8239,166.3067
580,474.60,649.59,60.02,43.34,2.83,9.4621,80.3308
595,725.69,689.50,64.79,43.89,42.31,8.4248,94.7836
597,774.03,679.76,75.67,47.22,30.62,8.9472,139.0789
51,754.92,51.68,36.48,29.52,116.28,8.7565,20.2086
588,633.21,656.74,92.51,37.03,178.65,8.1139,163.0680
287,619.36,360.00,59.04,33.68,24.18,11.8969,60.4095
618,395.20,683.67,43.29,23.51,153.04,10.2142,22.6664
631,771.98,169.73,38.88,31.25,8.31,7.5973,24.3007
639,343.48,706.20,78.19,42.15,2.74,7.1514,132.5801
653,240.36,754.27,43.73,39.13,175.72,4.5231,38.5040
358,648.35,442.27,74.96,56.80,14.32,9.7181,164.1799
667,773.07,505.74,36.19,35.87,87.10,7.2208,24.1678
299,444.22,152.47,34.33,31.18,177.34,15.2330,18.9094
670,708.89,729.88,45.23,40.34,8.48,17.8201,42.4531
682,687.65,733.92,82.32,35.72,19.77,7.8762,124.5507
689,764.14,723.63,40.18,34.40,36.91,6.8499,28.5688
707,778.38,763.13,50.83,34.11,11.42,8.7073,45.3465
711,482.24,750.19,82.12,47.39,168.44,10.8327,164.4111
688,828.46,780.16,75.45,56.69,19.39,4.2804,166.0271
474,500.75,513.83,102.04,55.68,141.27,7.1837,298.2484
735,564.36,779.68,96.87,38.15,168.60,8.8854,184.1422
736,467.60,773.55,52.47,45.91,178.91,14.8736,65.0309
607,701.41,16.97,42.33,39.82,0.50,11.1430,36.7036
695,445.50,651.13,42.79,34.89,5.19,5.7236,32.8541
